action,supabase_id,business_name,city,state,phone,current_email,new_email,email_change,current_website,new_website,website_change,new_facebook,new_instagram,new_linkedin,new_twitter
UPDATE,0023453c-ddf5-444c-a294-f05787d6dec0,Apple West 14th Street,New York,New York,(212) 444-3400,,,NONE,,https://www.apple.com/retail/west14thstreet%3Fcid%3Daos-us-seo-maps,ADD,http://www.facebook.com/sap,https://www.instagram.com/amazon,http://www.linkedin.com/company/sap,http://www.x.com/sap
UPDATE,00a0d8cf-979f-4783-b2b9-5cff211c6633,Professional Plus Services Inc,Norristown,Pennsylvania,(610) 584-7867,,proplusservices@verizon.net,ADD,,http://www.professionalplusservices.com/,ADD,,,,
SKIP,00cac3c5-1cf6-4bff-8a0a-8f315be4c3ab,A-1 Rooter LLC.,Craig,Colorado,(970) 629-0329,a1rooterllc@yahoo.com,,KEEP,http://a1rooterllc.com/,,KEEP,https://facebook.com/a1rooterllc,,,
UPDATE,017dee58-bbe3-411a-8c27-c59320336555,B's Portable Toilets,Idaho Falls,Idaho,(208) 339-7867,,contact@bsportables.com,ADD,,http://www.bsportables.com/,ADD,,,,
SKIP,01c09e94-22cd-4588-8182-d64db92936ee,Proper Site Services,Phoenix,Arizona,(602) 612-8821,info@propersiteservices.com,,KEEP,https://propersiteservices.com/,,KEEP,https://www.facebook.com/propersiteservices,https://www.instagram.com/propersiteservices,https://www.linkedin.com/company/proper-site-services,
UPDATE,0220a3fc-0219-4d21-a9d2-41090beaf4f8,English Sewage Disposal Inc,Bridgeton,New Jersey,(856) 358-4771,,paul.behrens@englishsewage.com,ADD,,http://englishsewage.net/,ADD,https://www.facebook.com/englishsewage,,,https://twitter.com/englishseptic
UPDATE,02541a30-163e-464d-abda-59acc1288b51,Royal Restrooms Savannah/Hilton Head Island,Garden City,Georgia,(912) 234-6800,,sales@royalrestrooms.com,ADD,https://georgiaportablerestrooms.com,,KEEP,https://www.facebook.com/royalrestroomssavannah,https://www.instagram.com/royalrestroomssav,,
UPDATE,0286f5cb-69ae-4f7d-888d-b1bdcd17e036,Portable Toilet Rentals Springfield,Springfield,Missouri,(417) 815-3084,,,NONE,,https://portabletoiletrentalsspringfield.business/,ADD,,,,
UPDATE,029a7856-122d-4850-9a75-dc10f44f7317,"Homepro Medical Supplies, LLC",Brooklyn,New York,(800) 437-3677,,dsschwartz@homepromedical.com,ADD,,http://homepromedical.com/,ADD,https://www.facebook.com/homepromedical/,,,
UPDATE,02a2f28c-e8f7-4820-837d-1944161da3ec,Luxe Flush,Sanford,Florida,(888) 201-6485,,info@theluxeflush.com,ADD,http://theluxeflush.com/,,KEEP,https://www.facebook.com/luxeflush/,https://www.instagram.com/luxeflush,https://www.linkedin.com/company/luxe-flush-restroom-trailers,
SKIP,0367e666-5368-43d6-8d69-579f3549905a,PCS -Power Cooling Sanitation Rentals,Tampa,Florida,(813) 516-0604,info@rentalpcs.com,,KEEP,https://rentalpcs.com/,,KEEP,,,,
UPDATE,044b9e8b-037e-4d7e-a019-06ca6621a9a1,Elvis Service Company,Myrtle Beach,South Carolina,(843) 448-5016,,info@elvisservicecompany.com,ADD,,https://elvisservicecompany.com/,ADD,https://www.facebook.com/elvisserviceco,https://www.instagram.com/elvisserviceco,,https://twitter.com/ElvisService
UPDATE,04739321-83b5-4cbd-b977-0a4223af4e7d,Blue Bear Waste Services,Denver,Colorado,(720) 818-7646,,yvonne.cook@bluebearwaste.com,ADD,https://bluebearwaste.com/location/colorado/%3Futm_source%3Dlocalfx%26utm_medium%3Dorganic%26utm_campaign%3Dlocalfx,,KEEP,https://www.facebook.com/BlueBearWaste/,https://www.instagram.com/blue_bear_waste,https://www.linkedin.com/company/blue-bear-waste-services,
SKIP,04847951-149d-4890-9a24-0d5a14c93321,Cen Cal Portables,Turlock,California,(209) 656-8305,,,NONE,https://www.cencalportables.com/contact-us/,,KEEP,,http://www.instagram.com/cencal.portables,,
UPDATE,04ae729a-2ffc-4264-bcdf-b6e02bf8bb90,C&W Portables,Mcbain,Michigan,(231) 723-9002,,service@jonstogo.com,ADD,,https://cwportables.com/,ADD,,,,
UPDATE,05063a5c-7659-47f5-9cfb-e1cb1f345d5a,Tiger Sanitation Services LLC,Baton Rouge,Louisiana,(225) 634-9988,,info@tigertoilets.com,ADD,,https://www.tigertoilets.com/,ADD,https://www.facebook.com/tigersanitation,,http://linkedin.com/company/tiger-sanitation-services-llc,
UPDATE,0510c871-ff09-460b-adcc-d20a4154fb72,"West Toi | Portable Toilet Rentals | Toilet Rentals | Tampa, FL",Tampa,Florida,(813) 900-6558,,lopezyosbany110@gmail.com,ADD,https://westtoi.com/,,KEEP,https://www.facebook.com/3-Brothers-Tree-Service-101035035633671/,https://www.instagram.com/devcodela,,https://twitter.com/DevCodela
UPDATE,05dbd05e-d5f3-4bda-860b-34aaa27c60ae,Sheldon Portable Toilets,Ashby,Massachusetts,(978) 386-9987,,,NONE,,http://www.sheldonportables.com/,ADD,https://www.facebook.com/243125362562776,,,
UPDATE,0603134d-4995-4d11-8224-749d3495a2dc,Got-A-Go Rentals & Septic Services,Independence,Kentucky,(859) 282-7700,,accounting@got-a-go.com,ADD,,http://www.got-a-go.com/,ADD,https://www.facebook.com/Got-A-Go-Rentals-Septic-Service-166405963385609/,https://www.instagram.com/gotago14,,https://twitter.com/GotaGo14
UPDATE,06134b65-5605-4398-abbb-803318f6a193,"JayBird Portable Restrooms, LLC",Lawrenceburg,Tennessee,(931) 762-9989,,office@jaybirdportables.com,ADD,http://www.jaybirdportables.com/,,KEEP,,,,
SKIP,06934ec5-391c-4749-9d7c-8a36b78ae520,The Lavatory,Fresno,California,(209)-699-8443,michael@thelavatory.com,,KEEP,https://thelavatoryfresno.com/,,KEEP,https://www.facebook.com/lavatoryfresno/,https://www.instagram.com/thelavatoryfresno,,
SKIP,07274a88-e47e-44bd-be0a-307d1d22262e,Tallahassee Porta Potty Rental | PortaPlus,Tallahassee,Florida,(850) 202-7433,contact@tallahasseeportapotties.com,,KEEP,https://tallahasseeportapotties.com/,,KEEP,https://www.facebook.com/tallahasseeportapottyrentalportaplus/,https://www.instagram.com/tallahasseeportapottyrental,https://www.linkedin.com/company/tallahassee-porta-potty-rental-portaplus,https://twitter.com/tallahasseepot
UPDATE,094cfdce-3133-4c7a-b606-b73cbd6bcb5c,New England Restrooms,Middleton,Massachusetts,(978) 988-8869,,office@newenglandrestrooms.com,ADD,,http://newenglandrestrooms.com/,ADD,,,,
UPDATE,0bd67e63-e0b9-4ff3-a1c6-246fdcc851f7,Island Restrooms,Belle Glade,Florida,(561) 680-2772,,service@islandrestrooms.com,ADD,,https://islandrestrooms.com/%3Futm_source%3Dorganic%26utm_medium%3Dgmb%26utm_campaign%3Dbelle_glade_fl%26utm_id%3Dlocal,ADD,https://www.facebook.com/islandrestrooms/,https://www.instagram.com/islandrestroomsuites,,https://twitter.com/intent/
UPDATE,0c707bda-5868-47ac-a775-9c7a6ddcbaaf,Arcade Portables LLC,Ettrick,Wisconsin,(608) 525-4225,,john@septicpumpingwi.com,ADD,,https://septicpumpingwi.com/,ADD,https://www.facebook.com/165222646955310,,,
UPDATE,0c827b1c-f2c3-4c15-9334-85324fca7571,"Texas Johns, LLC",Houston,Texas,(940) 343-9229,,info@texasjohns.com,ADD,https://texasjohns.com/porta-potty-rentals-houston-tx,,KEEP,https://www.facebook.com/texasjohns,,,https://twitter.com/texasjohnstx
SKIP,0cfe4cd4-742f-4e48-b5d4-13a7f06ced6a,Swift Portable Toilet Rental Oxnard,Oxnard,California,(805) 229-2435,,,NONE,https://swiftportabletoiletoxnardworks.com/,,KEEP,,,,
UPDATE,0e04b994-8399-4543-8437-fe93b962b8f8,A Royal Flush Portables,Rapid City,South Dakota,(605) 787-2871,,royalflushportables16@gmail.com,ADD,,https://www.aroyalflushportables.com/,ADD,,,,
UPDATE,0eabbf85-cf54-429b-afe4-4bdebfa449a7,J&J Elite LLC Restroom Trailers,Millville,Minnesota,,,sales@jjelitetrailers.com,ADD,,https://www.jjelitetrailers.com/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D2358064085434373496,ADD,,,,
UPDATE,0efe0775-db91-4e55-9624-df81aa55355d,Ace Portable Services,Watsonville,California,(831) 465-0406,,aceportables@yahoo.com,ADD,https://aceportableservices.com/,,KEEP,https://www.facebook.com/aceportableservices,,,
UPDATE,0f3fa7e5-9db0-49f4-89ec-f49057f04b66,Charlie's Septic Service,Annville,Pennsylvania,(717) 838-7228,,customerservice@charliesseptic.com,ADD,,http://charliesseptic.com/,ADD,https://www.facebook.com/charliessepticservice,,,
UPDATE,0f50e673-0e51-40c8-a8fc-d37a7df8124d,Pippin & Son Inc,East Windsor,Connecticut,(860) 623-2313,,petepippin@gmail.com,ADD,http://www.pippinandson.com/,,KEEP,,,,
UPDATE,103810ba-a0d3-4e77-ba0e-1d7365fd9030,Strickland Portable Toilets,Cullman,Alabama,(256) 734-5773,,info@stricklandportabletoilets.com,ADD,,http://www.stricklandportabletoilets.com/,ADD,,,,
UPDATE,105aafb3-423e-408c-b5ba-14442b8f3f61,Porta Potty Rentals of Oakland,Oakland,California,(405) 353-9386,,info@proportapottyrental.com,ADD,,https://proportapottyrental.com/locations/oakland-ca,ADD,,,,
UPDATE,106dfc6d-e212-4c3e-89bd-2d0ead2955b1,Toombs Septic Services LLC,Clear Lake,Wisconsin,(715) 263-4333,,ntoombs@cltcomm.net,ADD,,https://toombssepticservices.com/,ADD,https://www.facebook.com/ToombsSeptic/,,,
