id,business_name,slug,city,state,phone,website,email,street_address,postal_code,latitude,longitude,rating,review_count,photo_url,hours,services_offered,source,enriched_at,contacted_at,contact_status,has_luxury,has_ada,has_trailer,serves_events,serves_construction,delivery_radius_miles,created_at,updated_at,description,featured,verified,scrape_status,enrich_status,enrich_confidence_email,enrich_confidence_phone,outreach_status,email1_sent_at,email2_sent_at,email3_sent_at,outreach_count,verified_at,facebook_url,instagram_url,linkedin_url,twitter_url
de45b6c7-c781-4473-84f8-a863c428fc3a,Alaska Porta Potty,alaska-porta-potty-anchorage,Anchorage,AK,(907)519-4144,http://alaskaportapottyllc.com/,alaskaportapotty@hotmail.com,"6201 Burlwood St, Anchorage, AK 99507",99507,61.16450990,-149.84766530,5.0,16,https://lh3.googleusercontent.com/p/AF1QipN6tqtWd6iRye6mXXGvk8kg6UeGpGXtDuKwqfE9=w800-h500-k-no,"{""Sunday"":""Open 24 hours"",""Monday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Friday"":""Open 24 hours"",""Saturday"":""Open 24 hours""}","[""Portable toilet supplier""]",outscraper,2025-12-24 12:14:10.385+00,2025-12-26 15:27:22.854+00,,false,true,false,true,true,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"Alaska Porta Potty provides portable toilets in all sizes for events and construction sites, including wheelchair accessible options.",false,false,ready,pending,,,pending,,,,0,,,,,
97e8d800-37f9-4378-9efc-9bfa2c8126ac,Rent a Can of Delta,rent-a-can-of-delta-delta-junction,Delta Junction,AK,907-895-4205,https://rentacan.net,,1416 Alaska Hwy,99737,63.99399110,-145.58729500,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ii7xZ04I3kCoctKBUvpF9w&cb_client=search.gws-prod.gps&w=800&h=500&yaw=233.59947&pitch=0&thumbfov=100,"{""Sunday"":""Closed"",""Monday"":""8AM-3:30PM"",""Tuesday"":""8AM-3:30PM"",""Wednesday"":""8AM-3:30PM"",""Thursday"":""8AM-3:30PM"",""Friday"":""8AM-3:30PM"",""Saturday"":""Closed""}","[""Portable toilet supplier""]",outscraper,,,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"Portable toilet rental service providing various portable toilets, VIP restrooms, and handwash stations in Alaska.",false,false,ready,pending,,,pending,,,,0,,,,,
948e29f8-12fa-4890-af0d-bad632b659a8,H&H Truck and Outdoor - Montgomery AL,h-h-truck-and-outdoor-montgomery-al-montgomery,Montgomery,AL,334-272-4447,https://hhsales.com/montgomery-al/,orders@hhsales.com,698 North Eastern Blvd,36117,32.40355920,-86.21289530,4.9,256,https://lh3.googleusercontent.com/p/AF1QipOhwnAwUYZhv4vTgsKMV8nBaAThB6dOpE1U5O7Y=w800-h500-k-no,"{""Sunday"":""Closed"",""Monday"":""8AM-6PM"",""Tuesday"":""8AM-6PM"",""Wednesday"":""8AM-6PM"",""Thursday"":""8AM-6PM"",""Friday"":""8AM-6PM"",""Saturday"":""8AM-1PM""}","[""Truck accessories store"",""Camper shell supplier"",""Carport and pergola builder"",""Hot tub store"",""Hunting store""]",outscraper,2025-12-24 12:13:52.013+00,2025-12-26 15:27:25.723+00,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"H&H Truck and Outdoor specializes in truck, Jeep, and off-road accessories, portable buildings, carports, and utility trailers in the Montgomery, Alabama area.",false,false,ready,pending,,,pending,,,,0,,,,,
4be7266d-8328-4501-a855-4ecae4cdb57d,Bryan Contractors LLC,bryan-contractors-llc-saraland,Saraland,AL,251-866-5007,https://www.bryanportables.com/,,"9650 Celeste Rd, Saraland, AL 36571",36571,30.89201950,-88.12399080,4.4,11,https://lh3.googleusercontent.com/p/AF1QipP7rP1C7t40t4EuJ9TIifJaH9Bn0oF4nLuy9iH2=w800-h500-k-no,"{""Sunday"":""Closed"",""Monday"":""8AM-4:30PM"",""Tuesday"":""8AM-4:30PM"",""Wednesday"":""8AM-4:30PM"",""Thursday"":""8AM-4:30PM"",""Friday"":""8AM-3PM"",""Saturday"":""Closed""}","[""Portable toilet supplier"",""Transportation service"",""Road construction company""]",outscraper,,,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"Bryan Portables is a portable toilet rental company operating since 2008, providing 250 portable units for events, construction sites, and industrial locations in the Mobile Metropolitan Area.",false,false,ready,pending,,,pending,,,,0,,,,,
1066bd1b-0ab4-4a33-bd76-736e5821135a,Haul It Off,haul-it-off-theodore,Theodore,AL,251-422-7939,https://haulitoffmobile.com/,haulitoff@haulitoffmobile.com,7565 Theodore Dawes Rd,36582,30.56810420,-88.21980840,4.1,44,https://lh3.googleusercontent.com/p/AF1QipND6fYdZqXLBWAR1HeBwaQ1GTIPi46JpuPG19GJ=w800-h500-k-no,"{""Sunday"":""Closed"",""Monday"":""7AM-5PM"",""Tuesday"":""7AM-5PM"",""Wednesday"":""7AM-5PM"",""Thursday"":""7AM-5PM"",""Friday"":""7AM-5PM"",""Saturday"":""Closed""}","[""Portable toilet supplier"",""Debris removal service"",""Dumpster rental service"",""Waste management service""]",outscraper,2025-12-24 12:14:04.938+00,2025-12-26 15:27:28.386+00,,false,false,false,true,true,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"Haul-It-Off is a locally owned and family operated company in Mobile, Alabama that offers an easy, straightforward way to remove debris and junk with roll-off dumpsters.",false,false,ready,pending,,,pending,,,,0,,,,,
18e0444c-b8fe-4dee-903d-97c5d3cbb773,Miller Environmental Services,miller-environmental-services-addison,Addison,Alabama,(256) 522-3945,,,,35540,34.21355470,-87.11606820,4.8,84,https://lh3.googleusercontent.com/p/AF1QipMa79P6-9j5kyHiMWWrp9ktCKIiOYBd50pZ01IN=w800-h500-k-no,"{""Monday"":""Open 24 hours"",""Tuesday"":""Open 24 hours"",""Wednesday"":""Open 24 hours"",""Thursday"":""Open 24 hours"",""Friday"":""Open 24 hours"",""Saturday"":""Open 24 hours"",""Sunday"":""Open 24 hours""}","[""Septic system service"",""Dumpster rental service"",""Excavating contractor"",""Plumber"",""Portable toilet supplier""]",outscraper,2025-12-24 12:12:34.796+00,2025-12-24 16:19:12.315+00,,false,false,false,true,true,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"Miller Environmental Services provides reliable septic and plumbing solutions for homes and businesses, as well as portable toilet rentals starting at $25/week. They also offer excavation, drain cleaning, grease trap services, land clearing, and dirt work throughout North Alabama.",false,false,ready,pending,,,pending,,,,0,,,,,
ed7c338c-bb35-4b89-ad7b-dbc6e30be4f9,Anniston Plating & Machine Co. Inc,anniston-plating-machine-co-inc-anniston,Anniston,Alabama,(256) 236-8641,https://annistonplatingmachine.com/,allisong@annistonplating.com,"1301 Parkwood Dr, Anniston, AL 36201",36201,33.68093960,-85.85025640,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HPyDb8Y9jUgSujx0KfqGyA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=25.413143&pitch=0&thumbfov=100,"{""Sunday"":""Closed"",""Monday"":""7AM-3:30PM"",""Tuesday"":""7AM-3:30PM"",""Wednesday"":""7AM-3:30PM"",""Thursday"":""7AM-3:30PM"",""Friday"":""7AM-3:30PM"",""Saturday"":""Closed""}","[""Portable toilet supplier"",""Machine shop""]",outscraper,2025-12-24 12:13:36.333+00,2025-12-17 21:37:13.987+00,,false,false,false,false,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,,false,false,ready,pending,,,pending,,,,0,,,,,
b5e23c51-9b9e-41e6-9f83-f3713c9e5fbb,East Alabama Portables,east-alabama-portables-anniston,Anniston,Alabama,(256) 236-6830,,,,36201,33.68097610,-85.89289670,4.0,8,https://lh3.googleusercontent.com/p/AF1QipOrqErA67Py1zc0HOFEI96wUztJFLXoXRyA6kjg=w800-h500-k-no,"{""Monday"":""7AM-4PM"",""Tuesday"":""7AM-4PM"",""Wednesday"":""7AM-4PM"",""Thursday"":""7AM-4PM"",""Friday"":""7AM-4PM"",""Saturday"":""Closed"",""Sunday"":""Closed""}","[""Portable toilet supplier""]",outscraper,2025-12-24 12:11:26.899+00,2025-12-24 16:19:50.198+00,,false,true,true,true,true,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"East Alabama Portables provides portable toilet rentals, roll-off dumpsters, and septic tank pumping services for construction sites, special events, and across northern and central Alabama. The company has been operating since 1996 and maintains over 2000 toilets with BBB accreditation.",false,false,ready,pending,,,pending,,,,0,,,,,
e50f12e3-77dc-4a52-99c8-4a8ee3ba2194,Archer Porta Potty LLC,archer-porta-potty-llc-auburn,Auburn,Alabama,(334) 707-8461,,,,36830,32.64468640,-85.51547710,5.0,20,https://lh3.googleusercontent.com/p/AF1QipO2r-Nov04mkJjuWidA6_PL1UYkNtWIHd9TauJf=w800-h500-k-no,"{""Monday"":""8AM-5PM"",""Tuesday"":""8AM-5PM"",""Wednesday"":""8AM-5PM"",""Thursday"":""8AM-5PM"",""Friday"":""8AM-5PM"",""Saturday"":""Closed"",""Sunday"":""Closed""}","[""Portable toilet supplier""]",outscraper,2025-12-24 12:12:10.961+00,,,false,false,false,true,true,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"Local portable toilet rental company serving Auburn, Opelika, Valley, Alexander City, Lake Martin, Dadeville, and Tallassee since 2005. They specialize exclusively in portable toilet rental with a focus on great customer service and clean units.",false,false,ready,pending,,,pending,,,,0,,,,,
154759e7-64a9-4803-8128-a41b0698c30b,Event Restroom Trailers,event-restroom-trailers-auburn,Auburn,Alabama,(334) 734-2468,,,,36832,32.60369710,-85.51138910,5.0,2,https://lh3.googleusercontent.com/p/AF1QipO23Ft5qbLGKP4dVR8pFZ1bHE-sBRMxd1quuXzu=w800-h500-k-no,"{""Monday"":""8AM-5PM"",""Tuesday"":""8AM-5PM"",""Wednesday"":""8AM-5PM"",""Thursday"":""8AM-5PM"",""Friday"":""8AM-5PM"",""Saturday"":""Closed"",""Sunday"":""Closed""}","[""Portable toilet supplier""]",outscraper,2025-12-24 12:12:21.638+00,,,true,false,true,true,false,,2025-12-17 12:18:26.75729+00,2025-12-17 12:18:26.75729+00,"Event Restroom Trailers is a leading provider of restroom trailer rental services, specializing in luxurious and comfortable restroom solutions for events ranging from weddings to corporate functions and festivals.",false,false,ready,pending,,,pending,,,,0,,,,,
